     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
      -12.0000000000        0.7991163942       -0.5745062880        0.5734344711       -0.0010718170
      -11.6000000000        0.2116931527       -0.8037332327        0.8035400141       -0.0001932186
      -11.2000000000       -0.1719316738       -1.1827618752        1.1834812652        0.0007193900
      -10.8000000000       -0.4075051251       -1.6897569581        1.6914249823        0.0016680243
      -10.4000000000       -0.5380391204       -2.2029889984        2.2056438635        0.0026548652
      -10.0000000000       -0.5963177292       -2.5528819280        2.5565641988        0.0036822708
       -9.6000000000       -0.6069814096       -2.6262417120        2.6309945124        0.0047528004
       -9.2000000000       -0.5882473901       -2.4276937994        2.4335630303        0.0058692308
       -8.8000000000       -0.5533188951       -2.0552209360        2.0622555209        0.0070345849
       -8.4000000000       -0.5115299975       -1.6303462526        1.6385984087        0.0082521562
       -8.0000000000       -0.4692673667       -1.2429915944        1.2525171365        0.0095255421
       -7.6000000000       -0.4307051664       -0.9349225831        0.9457812601        0.0108586770
       -7.2000000000       -0.3983847189       -0.7106362539        0.7228921317        0.0122558778
       -6.8000000000       -0.3736663902       -0.5558217225        0.5695436061        0.0137218837
       -6.4000000000       -0.3570772781       -0.4514628191        0.4667247415        0.0152619223
       -6.0000000000       -0.3485749399       -0.3809584753        0.3978402265        0.0168817513
       -5.6000000000       -0.3477441531       -0.3322006560        0.3507884234        0.0185877674
       -5.2000000000       -0.3539412015       -0.2971982587        0.3175852897        0.0203870310
       -4.8000000000       -0.3663973188       -0.2709684426        0.2932559065        0.0222874639
       -4.4000000000       -0.3842914604       -0.2504858934        0.2747836942        0.0242978008
       -4.0000000000       -0.4067995750       -0.2339183171        0.2603463132        0.0264279962
       -3.6000000000       -0.4331278325       -0.2201371635        0.2488260582        0.0286888947
       -3.2000000000       -0.4625327271       -0.2084243463        0.2395174778        0.0310931314
       -2.8000000000       -0.4943354288       -0.1983055449        0.2319591631        0.0336536182
